"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"2 months ago","Full flutter course for beginners ❤😊","102","@RohitSinghtheprogrammer","false","false","false","false","","false",""
"3 weeks ago","He hasn't done it yet ... has he ??","1","@abcdefg-g2g","true","false","false","false","","false",""
"1 month ago","Pain of having an idea and not knowing how to code.","65","@ThabangMoilo","false","false","false","false","","false",""
"1 month ago","Idea to solve any particular Problem ?  I would say nowadays that what matters.  Now You can use AI to build MVPs atleast.  To give your idea a shape.","0","@areebtariq6755","true","false","false","false","","false",""
"3 weeks ago (edited)","Pain of not having an idea and barely knowing how to code","6","@rohan-nethala","true","false","false","false","","false",""
"2 weeks ago","​ @rohan-nethala I'm wondering if you could help me with giving me an advices about ""how to make an app which is a game in the same time, but has no characters, just some letters and buttons"" so what language and app shall I use to build that?","0","@Akkawi08","true","false","false","false","","false",""
"10 days ago","Me 2","0","@asmitislam219","true","false","false","false","","false",""
"10 days ago","Pain of having too many ideas and being a code monkey","0","@americoperez810","true","false","false","false","","false",""
"8 days ago","that's why developers exist :))","0","@imkarimkarim","true","false","false","false","","false",""
"3 months ago (edited)","As a CS student, I 100% agree on the importance of data structures & algorithms. It's one of the first things we learned. Btw thanks for making my journey easier, Mosh ❤","57","@ja1kob3","false","true","false","false","","false",""
"3 months ago","long time no see 😢Mosh","51","@howtos2","false","false","false","false","","false",""
"3 months ago","Sir, please make videos on Springboot, microservices and AWS Devops","37","@bharatdubey83","false","false","false","false","","false",""
"3 months ago","Working on it!","20","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago"," @programmingwithmosh  Love you Mosh!","1","@chamathcooray2984","true","true","false","false","","false",""
"3 months ago"," @programmingwithmosh  waiting quickly asap","0","@kamauwaweru4991","true","false","false","false","","false",""
"3 months ago","😍 waiting for springboot.","0","@myst.youtube","true","false","false","false","","false",""
"1 month ago (edited)"," @programmingwithmosh I just got goosebumps reading this. You are such a hero and have made such a significant impact in my life as a self taught software developer. I can’t wait for Spring Boot and DevOps courses from you. I’ll be on the waitlist.❤","0","@theophilusgordon","true","false","false","false","","false",""
"3 months ago","Cybersecurity roadmap will be much appreciated 😁","28","@abdulmuqsit3858","false","false","false","false","","false",""
"3 months ago","Yes, yes, that's what I have been looking for over the past month, but I haven't found any yet","4","@natishighlight1666","true","false","false","false","","false",""
"3 months ago","Mosh I beg you flutter course❤","24","@juniormutalbe3587","false","false","false","false","","false",""
"2 months ago","and He once promised us","1","@dennismosehla2735","true","false","false","false","","false",""
"3 months ago (edited)","Hi mosh, I am 13 years old who is interested into game development. I loving watching your videos especially your roadmap ones. I was wondering if you could make a roadmap video on becoming a game dev. Keep up the great work ❤🎉","21","@CodingWithCalvinYoutube","false","false","false","false","","false",""
"1 month ago","As per i know programming is not required for game development","1","@navalprakash3727","true","false","false","false","","false",""
"1 month ago"," @navalprakash3727  yes it is as it requires you to have knowledge about c++ (mostly). Companies won’t hire just for game engines. They will hire you for game engine knowledge and programming knowledge","0","@CodingWithCalvinYoutube","true","false","false","false","","false",""
"3 weeks ago"," @navalprakash3727  i'm also looking for one, tryna get into the mobile game dev scene. Do you have a discord maybe? so i can reach out? Need to have connections with like minds, if you don't mind","0","@invazion1155","true","false","false","false","","false",""
"2 weeks ago"," @navalprakash3727  I am a game developer. programming is very much required to develop a game, please stop spreading misinformation!","0","@grapehool","true","false","false","false","","false",""
"2 weeks ago","​ @navalprakash3727 its requied bro even more than programing web and mobile aps","0","@Kanookoochn","true","false","false","false","","false",""
"5 days ago"," @navalprakash3727  you know wrong , ofc programming is used for game dev , its one of the most fundamental thing for game dev , especially languages like C#","0","@MrX-zf5gl","true","false","false","false","","false",""
"2 months ago","Mosh is the must subscribe YouTube channel and it does not matter on what level of your programming journey you are. His way of structuring content and teaching is exceptional. I am learning a lot from him as an instructor myself. Thank you Mosh.","21","@TheCodeholic","false","true","false","false","","false",""
"3 months ago","Can we have flutter course mosh? I think that's what's missing from your channel","14","@adulis_et","false","false","false","false","","false",""
"3 months ago","Congratulations Mosh ,almost 4 millions subs🎉","12","@juniormutalbe3587","false","true","false","false","","false",""
"2 months ago","0 to Game Developer in 12 months?","8","@JoseDelgado-u5n","false","false","false","false","","false",""
"3 months ago","Happy july 4th mosh!! 🇺🇸❤","6","@annekaushal314","false","true","false","false","","false",""
"3 months ago","Thank you! Happy 4th of July!","1","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago","Mosh, we need Kotlin and Kotlin Multiplatform course, please!!! There are almost no tutorials for KMP","5","@amirfarkhadov5926","false","false","false","false","","false",""
"3 months ago","Hey mosh please make a course on flutter 🥺","4","@natnaeldebebe1541","false","false","false","false","","false",""
"3 months ago","Hey Dear Mosh, when are u gonna create a Flutter course?  💙","4","@hiwa_sh6813","false","false","false","false","","false",""
"2 months ago","Mitch Koko is a great resource when it comes to learning Flutter. Highly recommend checking him out","0","@RonithNeelam","true","false","false","false","","false",""
"3 months ago","Make a Game Developer Roadmap too!!!! Great video btw","4","@DanielGarza1306","false","false","false","false","","false",""
"3 months ago","step 1 : know thing. step 2 : buy my course on the thing.","3","@mhamadkamel6891","false","false","false","false","","false",""
"2 months ago (edited)","You are a very good teacher, Mosh! I'm now very seriously thinking about buying your C++ series.","3","@mikael9931","false","false","false","false","","false",""
"2 months ago","You are the goat in the space of programming","3","@Dannytremix256","false","true","false","false","","false",""
"2 months ago","We want Spring boot course from you Mosh!❣","3","@navaneethakrishnans9434","false","false","false","false","","false",""
"4 weeks ago","You Dp Looking like Jonny Singh 😢😂😂","3","@99_Kitchen","false","false","false","false","","false",""
"3 months ago","@mosh, Can we have flutter please","2","@humbulanimunyai9981","false","false","false","false","","false",""
"3 months ago","Miss your long videos.","2","@ashwinsuryawanshi","false","false","false","false","","false",""
"3 months ago","i love these roadmap videos.. hope Mosh release a new course soon, im itching to buy his spring course","2","@lanz7609","false","true","false","false","","false",""
"3 months ago","You'll have the Spring course later this year! :)","2","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago"," @programmingwithmosh  ❤️❤️❤️ OFFICIAL ANNOUNCEMENT FROM MOSH FOR MY FELLOW JAVA ENTHUSIASTS! THE LONG AWAITED SPRING COURSE IS COMING!!! WAHHH I CANT WAIT TO LEARN FROM YOU AGAIN MOSH! THANKYOU SO MUCH!","0","@lanz7609","true","false","false","false","","false",""
"3 months ago"," @programmingwithmosh can’t wait 😁🎉. Thank you 🙏🏽 😊","0","@helenapedro8707","true","false","false","false","","false",""
"2 months ago"," @programmingwithmosh  thank you mosh!","0","@MadhuSudhan-um2lm","true","false","false","false","","false",""
"3 months ago","do a video on flutterflow","2","@gullapallijyothikiran3371","false","false","false","false","","false",""
"3 months ago","Mosh please bring a course on spring boot java","2","@sardarzain1066","false","false","false","false","","false",""
"3 months ago","Agree","0","@chamathcooray2984","true","false","false","false","","false",""
"3 months ago","Do you think Kotlin multiplatform is still good to learn?","2","@RedSky8","false","false","false","false","","false",""
"3 months ago","It'll take off eventually","0","@johnsonjohnson8557","true","false","false","false","","false",""
"3 months ago","Swift & SwiftUI ❤","2","@Ivoshevo","false","false","false","false","","false",""
"2 months ago","Need Machine learning, Data Science full roadmap","2","@tamimtamim1883","false","false","false","false","","false",""
"2 months ago","Sir, kindly make video on neural networks","2","@MBOfficial-99","false","false","false","false","","false",""
"2 months ago","❤","2","@mb_56","true","false","false","false","","false",""
"2 months ago","I want this also","1","@Md-i2u","true","false","false","false","","false",""
"2 months ago","So this year your machine learning course will come out, right? right? right?","2","@JohnSmith-gu9gl","false","false","false","false","","false",""
"2 months ago","Mose, my hero in Software development, great tips and advice.","2","@petergitts623","false","true","false","false","","false",""
"3 months ago","I love the way you structuring","1","@zheernoori7343","false","true","false","false","","false",""
"3 months ago","if someone were to lose their mind and go cross platform with cpp and opengl [no frameworks], how cooked would someone be  in this field... asking for a friend🤣🤣🤣🤣","1","@notdeus3834","false","false","false","false","","false",""
"3 months ago","😂😂","0","@wasifshahzad5001","true","false","false","false","","false",""
"3 months ago","Waiting for flutter master course 🎉","1","@ademineshat","false","false","false","false","","false",""
"3 months ago","Make new courses man!!! Waiting for your new courses in udemy!!","1","@aakasamantha","false","false","false","false","","false",""
"3 months ago","That's the plan!","2","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago"," @programmingwithmosh  Amazing. All eyes and ears!","1","@aakasamantha","true","false","false","false","","false",""
"3 months ago","Nice mosh","1","@lukermatthewtan7429","false","false","false","false","","false",""
"3 months ago","Would you release a flutter course?","1","@walid-hamdi","false","false","false","false","","false",""
"3 months ago","I'm planning but most likely for the next year as I have so much to do this year.","1","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago"," @programmingwithmosh   Waiting for this course from Myanmar, cause We can't buy any courses related global payments system if we want to due to our country situation 😔  ,,, Myanmar payment systems are blocked by Western Countries  ,,, So still waiting for free ...","0","@thanwanna","true","false","false","false","","false",""
"3 months ago","Have chosen the react-native already Thanks for the update.","1","@opjmarketerguru7264","false","false","false","false","","false",""
"3 months ago","Next data scientist roadmap please","1","@shreehari2589","false","false","false","false","","false",""
"3 months ago","Sir, What about Backend and Database in Mobile App Development, I mean should we have to learn other stuff other than these things?","1","@Bug-Slayer-404","false","false","false","false","","false",""
"3 months ago","I have a separate roadmap for backend development. The link is in the description.","1","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago","​ @programmingwithmosh  But Sir it is for Web Development Right? Will it Works for Mobile  Development?","0","@Bug-Slayer-404","true","false","false","false","","false",""
"3 months ago","Can you make a video about using Angular & Ionic, I know Ionic works with React too but my next role they are using Ionic and angular for the mobile apps. I am also thinking of building my future apps with it. What are your thoughts on it?","1","@fortunembulazi","false","false","false","false","","false",""
"3 months ago","I built an app with Ionic about 7 years ago and I was happy with the experience. I’m sure a lot of things have changed and improved since then. If you know Angular well, you can easily learn Ionic in a few weeks.","1","@programmingwithmosh","true","false","false","false","","false",""
"3 months ago","here i am thinking i can do it in 2 month😔","1","@SurafelFantu-z5g","false","false","false","false","","false",""
"3 months ago","Nice Content Mosh😍, Hope you Make Video on Swift Language ! iOS Development","1","@vamshikrishna8939","false","true","false","false","","false",""
"3 months ago","What about MQL4 programming trading robots amd indicators for Metatrader 4? I love it.","1","@RobotMegaPower","false","false","false","false","","false",""
"3 months ago","That's what am interested in.. Thanks for making it ❤","1","@moumeen3090","false","true","false","false","","false",""
"3 months ago","very useful, thanks!","1","@isabelgarciamendez3892","false","true","false","false","","false",""
"3 months ago","Thank you so much Mosh.","1","@Abi_Abey","false","false","false","false","","false",""
"3 months ago","Hi Mosh, good to see you after a long time. Please share a roadmap for being native app development. Specially in iOS. Thanks❤","1","@sudiptochakrabarti457","false","false","false","false","","false",""
"3 months ago","I am native Android developer with knowledge of Kotlin and Java , as you said cross platform are increasing in demand , should I do React native or flutter or Kotlin multi-platform","1","@AdityaKumar-vy5zl","false","false","false","false","","false",""
"3 months ago (edited)","Thank you Mosh: Next video's Roadmap suggestion. DevOps, Data Science, ML/AI  engineering, Cloud Engineering . Please!","1","@zealousprogrammer4539","false","true","false","false","","false",""
"3 months ago","Thanks for the idea!","0","@programmingwithmosh","true","false","false","false","","false",""
"2 months ago"," @programmingwithmosh  can you provide us full coures of app devlopment?","0","@Surbhi-tt1gy","true","false","false","false","","false",""
"3 months ago","native android , native ios. the end.","1","@TheBlackManMythLegend","false","false","false","false","","false",""
"3 months ago","Great video. Your recommendations are extremely accurate!","1","@nicolasferrada","false","true","false","false","","false",""
"3 months ago","Make for Game development","1","@classicred5499","false","false","false","false","","false",""
"2 months ago","Mosh, which of your paid courses do you best recommend for full stack web or mobile development?","1","@ESSwiftOfficial","false","false","false","false","","false",""
"2 months ago","Please make a full Flutter tutorial 🙏🙏🙏","1","@eugeneheynike8464","false","false","false","false","","false",""
"2 months ago","Please send a real time spring boot project in your upcoming spring boot course.😊","1","@MadhuSudhan-um2lm","false","false","false","false","","false",""
"2 months ago","Hey Mosh. I want to thank you for making this video due to I've been thinking seriously about being a mobile dev. I know is subjective if I ask you about flutter being a good choice in 2024 and for the future, but I'm kinda scared because I'm currently studying 4th semester of Software Engineering in Colombia and based on what I've learned I'm so confused. I love the front end and like making good looking UIs and great UX, but I'm a little too much scared about if it's worth it to learn Flutter for being a mobile dev in a future, or maybe based on your opinion: Which technology/roadmap would you recommend me (doesn't have to be mobile). I wouldn't have so much trouble with changing into another thing, but being brutaly honest, would you recommend flutter for an entry level dev? Thank you so much, and sorry for the message lenght :(","1","@Exodus18244","false","false","false","false","","false",""
"2 months ago","JavaScript everyday, man!","1","@MChiemelie","false","false","false","false","","false",""
"2 months ago","Great work! love your content. Keep it up!","1","@Claude_Developer","false","true","false","false","","false",""
"2 months ago","Thank you very much, Mosh. About a year ago, I was deeply into programming and almost on the verge of giving up. Then, one day, I opened my phone, went to YouTube, and searched for Python courses. I came across your videos, watched them, and started practicing. I never stopped and kept pushing forward. After that, I watched your web development course and took your Java course.  Now, I'm a certified full-stack developer working for one of the biggest companies in the world. The most remarkable part of the story is that I'm not even 17 yet. This experience has shown me that everything is possible.   I just want to say a very big thank you. You and your inspirational videos have been life-changing for me. Please keep going and never stop.  😊😊😊","1","@ZueAicompany","false","true","false","false","","false",""
"2 months ago","Wow, that’s a great, inspirational story! I’m glad I’ve been part of your journey. Thanks for sharing your story and inspiring all of us. Keep up the great work:","0","@programmingwithmosh","true","false","false","false","","false",""
"2 months ago","Developing apps with Flutter is Fantastic except You need a foreground android service 💀 I am switching JetpackCompose and Kotlin","1","@Steveiisler","false","false","false","false","","false",""
"1 month ago","Can you tell about what is foreground android service need for flutter","0","@EternalHidayah","true","false","false","false","","false",""
"2 months ago","❤ for JavaScript, Python and PHP 🎉","1","@ashrafulmomenshuvo5344","false","false","false","false","","false",""
"1 month ago","Pls make roadmap on cybersecurity like  ethical hacking, cybersecurity engineer, pentester, cybersecurity analyst ,etc. I m waiting...","1","@kishan4278","false","false","false","false","","false",""
"1 month ago","waiting for flutter full course","1","@sagnikasd2443","false","false","false","false","","false",""
"3 weeks ago","This is gold! I worked with White Label Fox for app development, and their service was as professional and seamless as the advice you're sharing.","1","@thomasjoe-k5t","false","false","false","false","","false",""
"9 hours ago","Kotlin is the best for both native and cross platform development!","1","@mehrabmirtaheri2878","false","false","false","false","","false",""
"7 days ago","I've seen other youtubers saying native app dev should be done but you said multi platform, why?","1","@Vansh-tv5is","false","false","false","false","","false",""
"3 months ago","Yooh!","0","@chidi_Dev","false","false","false","false","","false",""
