"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 month ago","the promised Spring course is dropping tonight 🎉","28","@lanz7609","false","false","false","false","","false",""
"1 month ago","Eggs on your face 😂","2","@akash-kumar737","true","false","false","false","","false",""
"4 weeks ago","Nope","0","@Dracometeor562","true","false","false","false","","false",""
"3 weeks ago","It's Python project course😂","0","@k303k","true","false","false","false","","false",""
"1 month ago","Plz machines learning course","23","@saimonhossain1917","false","false","false","false","","false",""
"1 month ago (edited)","I am from Iran and I want to tell you  I am eternally grateful for everything you've taught me ❤️","19","@mohammadalimsi4712","false","true","false","false","","false",""
"1 month ago","❤❤❤","0","@rezakiani3603","true","false","false","false","","false",""
"4 weeks ago","I have seen only basic teaching in his course not much advanced","1","@venkatasivavarmasirivuri231","true","false","false","false","","false",""
"4 weeks ago"," @venkatasivavarmasirivuri231 agree","0","@中文中国-t4u","true","false","false","false","","false",""
"1 month ago","Spring boot? Curious. Web dev? Automation? Ai?","16","@RandyAinsworth-tx6vn","false","false","false","false","","false",""
"1 month ago","It's Python with project course","8","@shaiksalmankhan6712","false","false","false","false","","false",""
"1 month ago","spring boot ?","8","@majidabdolhosseini4449","false","false","false","false","","false",""
"1 month ago","We want react and spring boot.","8","@ricamaetamashiro7856","false","false","false","false","","false",""
"10 days ago","Yep","0","@bora514","true","false","false","false","","false",""
"1 month ago","We need spring boot course. We were waiting for it so long.","6","@devbasit","false","false","false","false","","false",""
"4 weeks ago","Nope we dont need it","0","@Dracometeor562","true","false","false","false","","false",""
"3 weeks ago","yep we need","0","@neerajverma9226","true","false","false","false","","false",""
"1 month ago","We want a SpringBoot course","6","@HadiALHalbouni","false","false","false","false","","false",""
"4 weeks ago","No we dont want it","0","@Dracometeor562","true","false","false","false","","false",""
"3 weeks ago"," @Dracometeor562   You don't want it but all the other subscribers want it. You can unsubscribe if you don't like the situation","1","@HadiALHalbouni","true","false","false","false","","false",""
"3 weeks ago"," @HadiALHalbouni  stop crying","0","@Dracometeor562","true","false","false","false","","false",""
"3 weeks ago"," @Dracometeor562   Kol Khra ya akho al gahba  You are the one crying  F you","0","@HadiALHalbouni","true","false","false","false","","false",""
"2 weeks ago"," @Dracometeor562 angry","0","@mohammadiaa","true","false","false","false","","false",""
"1 month ago","Mr. please can you consider making a flutter course as a master class?  i really need it from you I tried to learn flutter since a long time but i didn't succeed","4","@ahmedthebest","false","false","false","false","","false",""
"1 month ago","Hopw its not some ai trash","4","@elraito","false","false","false","false","","false",""
"1 month ago","Well, it gotta be some AI Tr@sh. What else could it be?   The sad part is everyone is doing the same :(","0","@theintjengineer","true","false","false","false","","false",""
"1 month ago","Lol","0","@johnconnor9787","true","false","false","false","","false",""
"1 month ago","The right course on the right time, thanks mosh ❤","4","@hasnaouiacademy7899","false","true","false","false","","false",""
"1 month ago","React Native update would be nice","3","@amirfarkhadov5926","false","false","false","false","","false",""
"4 weeks ago","That's an awesome idea, a great teacher can truly value these courses :thanksdoc:","3","@anusbaig3288","false","false","false","false","","false",""
"1 month ago","I think this is a Golang course","2","@ramadanlotfe829","false","false","false","false","","false",""
