"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"7 hours ago","Remember this war doesn't start on 7th October!!! It started from 1948!","2142","@Shah_Khan","false","false","false","false","","false",""
"7 hours ago","It starts from 6ce","51","@VikrantChoudhary4801","true","false","false","false","","false",""
"7 hours ago","1948?? It is from prophet Muhammad period","72","@Yashir-i5x","true","false","false","false","","false",""
"7 hours ago"," @VikrantChoudhary4801 they wont say that coz they are cunning crying foxes","0","@deimosgaming-gcdeimos7466","true","false","false","false","","false",""
"7 hours ago","​ @Yashir-i5x  from your grand father period","46","@Hussainkhan-ny6bq","true","false","false","false","","false",""
"6 hours ago","Skirmishes turned into war on 6th October.","7","@TheVinny31","true","false","false","false","","false",""
"6 hours ago","You don't get to use dates as per convenience bruh  Change the context, if a new conflict starts between India and Pakistan..... will you be able to rightfully justify the war based on saying it started on 1947? No? Same thing in case of Israel.","14","@arthurfleck8843","true","false","false","false","","false",""
"6 hours ago","Nobody will understand that it starts in 1948","12","@shadabimam5931","true","false","false","false","","false",""
"6 hours ago"," @Yashir-i5x  you silly ball sack, hes talking about your dumb grandpa's time not 14 centuries ago. dumb c*nts","0","@AzsoneNow","true","false","false","false","","false",""
"6 hours ago","No from 1400 years ago","18","@Kinjan-y7d","true","false","false","false","","false",""
"6 hours ago","​ @arthurfleck8843 no because Israelis torturing Palestinians way before 7th oct","0","@shadabimam5931","true","false","false","false","","false",""
"6 hours ago (edited)","Yes it started in  1948 when muslims attacked israel & lost & since then playing victim card.","0","@kaizen_monk","true","false","false","false","","false",""
"6 hours ago","More like 1917 when they signed balfour decleration!","3","@MineMeMineMeMineMe","true","false","false","false","","false",""
"6 hours ago","​ @arthurfleck8843 Israel illegally occupied thier land and do you know how many falastini has been killed by Israel so far?","16","@ayaanaga31","true","false","false","false","","false",""
"6 hours ago","It didn't start on October 7: ▪Haifa massacre - March 6, 1937⁣⁣ ▪Jerusalem massacre - Dec 6, 1937⁣⁣ ▪Haifa massacre - March 27, 1938⁣⁣ ▪Haifa massacre - July 6, 1938⁣⁣ ▪Jerusalem massacre - July 13, 1938⁣⁣ ▪Jerusalem massacre - July 15, 1938⁣⁣ ▪Haifa massacre - July 25, 1938⁣⁣ ▪Jerusalem massacre - July 26, 1938⁣⁣ ▪Balad al-Sheikh massacre - June 12, 1939⁣⁣ ▪Haifa massacre - June 19, 1939⁣⁣ ▪Haifa massacre - June 20, 1947⁣⁣ ▪Jaffa massacre - Dec 12, 1947⁣⁣ ▪Abbasiya massacre - Dec 13, 1947⁣⁣ ▪Al-Khasas massacre - Dec 18, 1947⁣⁣ ▪Bab al-Amud massacre - Dec 29,⁣⁣ 1947⁣⁣ ▪Jerusalem massacre - Dec 30,⁣⁣ 1947⁣⁣ ▪Balad al-Sheikh massacre - Dec 31, 1947⁣⁣ ▪Deir Yassin massacre - April 9, 1948⁣⁣ ▪Abu Shusha village massacre - May 9, 1948⁣⁣ ▪Tantura massacre - May 22, 1948⁣⁣ ▪Lydda massacre - July 1948⁣⁣","27","@omikhan6411","true","false","false","false","","false",""
"6 hours ago","​ @Yashir-i5x do not say anything nonsense you name is Muslim why you said this r you atheist or fake Hindu I'd with Muslim name Lol prophet Muhammad Saw was died before partion at that time r you in Sense","0","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago","Israel is our family 🇮🇱 🇮🇳","18","@PujaPatil-8199","true","false","false","false","","false",""
"6 hours ago","WE INDIANS STAND WITH ISRAEL 🇮🇱 🇮🇳  KARGIL WAR , 1971 , BANGLADESHI HINDU . LOVE ISRAEL","14","@onepunchman2663","true","false","false","false","","false",""
"6 hours ago","Israel is 3000 years old. There is 0 country who wants Palestians in their soiI . Get that ?","0","@________Taehyung_________.....","true","false","false","false","","false",""
"6 hours ago","​ @PujaPatil-8199 dear please support humanity you hindus support Israel because they are against Muslims and non Muslim country but please do n😢 support on religion beliefs but on humanity","16","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago","​ @MansoorKhan-hy6ws  We Support Israel 🇮🇱🇮🇳  Jai Hind . Jai India  Jai Israel","10","@mihaelkeehl8650","true","false","false","false","","false",""
"6 hours ago","​ @Yashir-i5x please do not say anything nonsense r you out of sense our prophet Muhammad Saw was died at that time what r you talking please respect and think before you speak","2","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago","​ @PujaPatil-8199 mashallah your so beautiful from Pakistan dear Salam namaste 🎉","0","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago","​ @MansoorKhan-hy6ws  I am a Muslim girl but I support Israel . Major Gaurav Arya. Israel is the civilised world . We stand with Israel. Inshallah Israel will win","12","@omikhan6411","true","false","false","false","","false",""
"6 hours ago","​ @MansoorKhan-hy6ws   Israel: Credit Card  lran : Victim card","12","@onepunchman2663","true","false","false","false","","false",""
"6 hours ago","Exactly?? The problem is israhell, they never wanted peace","0","@adom-np5zp","true","false","false","false","","false",""
"6 hours ago","​ @MansoorKhan-hy6ws  how nice of you. Doing terrorlsm and behaving like a gentleman. We stand with Israel amd we will . Stop playing vlctim card. We are not bIind","0","@PujaPatil-8199","true","false","false","false","","false",""
"6 hours ago"," @mihaelkeehl8650  ok then why you people said at that time when someone Left Islam then you people said to them that welcome to humanity brother we should support humanity every religion seeks huminty please understand war is not the right way peace is right way Israel is terrist state","0","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago","But Pooja they don't consider you as your family do you know what their torah says about you guys​ @PujaPatil-8199 ","0","@jami410","true","false","false","false","","false",""
"6 hours ago","​ @omikhan6411 fake Muslim found 🤡","0","@jami410","true","false","false","false","","false",""
"6 hours ago","Guys !!!  Pakistanis wiII try to break our friendship with Israel who helped us in KargiI war and all the time. Don't faII for it","0","@PujaPatil-8199","true","false","false","false","","false",""
"6 hours ago"," @omikhan6411  but why i surprised to hear this from Muslim why dear Israel is terrist state dear plastin people r innocent","0","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago"," @omikhan6411  let's see dear","0","@MansoorKhan-hy6ws","true","false","false","false","","false",""
"6 hours ago","it started on 1948 reason for this war iz israel","3","@mohammedfaizal1124","true","false","false","false","","false",""
"5 hours ago","And Israel is stronger than ever. What does that tell you?","2","@earlharvey7659","true","false","false","false","","false",""
"5 hours ago","Yeah okk pdf file ​ @Hussainkhan-ny6bq ","0","@bankrupt4808","true","false","false","false","","false",""
"5 hours ago","Israel will win. All civilised people praying for the brave people of Israel 🇮🇱 . God bless Israel","2","@mihaelkeehl8650","true","false","false","false","","false",""
"5 hours ago","Is started 1400 years ago in the war of Khyber, where Muhammad cleansed Jews of the land","1","@pradipray1251","true","false","false","false","","false",""
"5 hours ago","​ @MansoorKhan-hy6ws  Oh really you seem innocent but you are not , you are lier like other peacefuls","0","@theonlylearn","true","false","false","false","","false",""
"5 hours ago","​ @MansoorKhan-hy6ws  Yes off course we are supporting humanity by supporting Isreal 🇮🇱🇮🇱 because they are for world , they have destroyed so maney terrorists groups which can be dangerous for world.","0","@theonlylearn","true","false","false","false","","false",""
