"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"2 days ago","Dhruv ... I want a video on Dhirubhai Amabani ... How he became so rich ...how  a petrol boy can become the richest man in India 🙏🙏","399","@mrinmoy999","false","false","false","false","","false",""
"1 day ago","Is ke Piche lamba story hai oh book 📚 jaisha hai..we didn't found...","5","@mohammadaliali3599","true","false","false","false","","false",""
"1 day ago","​ @mohammadaliali3599  polyester prince","0","@rajeshbarad8324","true","false","false","false","","false",""
"1 day ago","धांधली से अमीर हुआ था वो.","9","@specialrelativity8222","true","false","false","false","","false",""
"1 day ago","Movie bhi bani hain Abhishek bacchan ne role nibhaya tha risk liya tha tab Ameer bane​ @specialrelativity8222 ","0","@sarthak.yeager","true","false","false","false","","false",""
"1 day ago","Dhirubhai Ambani used to work in Yemen and learned sharp business and negotiating skills from the Yemenis who are known for their business tactics, Dhirubhai said so himself on many platforms. He even met his first business partner, Damani, in Yemen, and his first venture was trade exports to Yemen from India. Mukesh Ambani was also born in Yemen, so like Kerela became so rich because of middle east, Ambani did too but today they are sending drones weapons to kill those very same Arabs including Yemeni , what a way of showing gratitude.","15","@abs6204","true","false","false","false","","false",""
"1 day ago","bt kismat ki hy rsty khud bn jaty hen nseb mango khuda sy aisy hr koi successful hta","0","@almightydarkest","true","false","false","false","","false",""
"1 day ago"," @abs6204  like father. Like son","1","@shareeft8107","true","false","false","false","","false",""
"1 day ago"," @shareeft8107  how?","0","@sarthak.yeager","true","false","false","false","","false",""
"1 day ago"," @abs6204  woh kisko bech rhe hai","1","@sarthak.yeager","true","false","false","false","","false",""
"1 day ago","Hanky Panky …,","0","@sabihasaud8156","true","false","false","false","","false",""
"2 days ago","""Ek aadmi agar dil se garib ho... Toh duniya ki saari daulat bhi kaam pahlr jaati hai"" - well said 👏 Perfectly goes for Mukesh Ambani ☠️","361","@Jahana_4693","false","false","false","false","","false",""
"2 days ago","Mukesh Ambani toh india ka sabse bada bewokuf insaan he apko maloom he ye baat","0","@Iam_zbr_07","true","false","false","false","","false",""
"2 days ago","यह डायलॉग जिनके पासपैसा नहीं we लोग ही बोलते हैं😂","0","@Kishanpatel-ul1sb","true","false","false","false","","false",""
"2 days ago"," @Jahana_4693  ek aadmi agar chootiya ho, aiyyash ho , rangeen mizaz ho, sattebaaz ho to use kitni bhi daulat de do  bankrupt ho hi jaayega, Anil Ambani is live example","0","@aurorat596","true","false","false","false","","false",""
"2 days ago","​@Kishanpatel-ul1sb Aise bakwas  comments wahi krte hai jinke pass dimag nhi hota😊","6","@Yash-sq2zo","true","false","false","false","","false",""
"2 days ago (edited)","Dusman mile hajaar pr bhai na mile (................)","3","@Hii_Shabbir","true","false","false","false","","false",""
"1 day ago","This video just has shifted my whole perspective for Mukesh Ambani and Anil Ambani ..Anil Ambani no doubt is a true warrior ..","268","@mannatkotwal3784","false","false","false","false","","false",""
"17 hours ago","dont shift your perspective on a biased video","2","@sudhanshusuryawanshi6692","true","false","false","false","","false",""
