"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"4 weeks ago","Do you know any people who are believing such stupid conspiracy theories like this around you?  🤖 Join the Master ChatGPT Course: https://academy.dhruvrathee.com/chatgpt Learn to harness the power of ChatGPT to transform your life! Use coupon code: FLAT40 for a 40% discount!","4049","@dhruvrathee","false","false","true","false","","false",""
"4 weeks ago","Dhruv Sir fans  👇","210","@kumarkaushal-d6i","true","false","false","false","","false",""
"4 weeks ago","❤❤❤","47","@PhilosophyLover-h1l","true","false","false","false","","false",""
"4 weeks ago","Sir I am your biggest fan please give me heart ❤","45","@kumarkaushal-d6i","true","false","false","false","","false",""
"4 weeks ago","I am only your fan bhai ❤❤❤","23","@PhilosophyLover-h1l","true","false","false","false","","false",""
"4 weeks ago","❤😊","13","@Aroob_fatima0","true","false","false","false","","false",""
"4 weeks ago","Hii sir❤❤","11","@MR__JAHER","true","false","false","false","","false",""
"4 weeks ago","❤😊","9","@Aroob_fatima0","true","false","false","false","","false",""
"4 weeks ago","👍♥️♥️♥️♥️♥️♥️♥️♥️","11","@Uk-girl-aarti-singh","true","false","false","false","","false",""
"4 weeks ago","Really serious issue in Maharashtra 😔: Farmers died from Jan - OCT 2023 : 2366  avg. : 8  death/day   Can you make video for this and also cover in what approach we reduce this death  ?   Ruling party's just do activity when voice is raised once reduced intensity then again goes on silent   I known wheather it is ruling party or opponent party when that are ruling party's they don't have any interest for this topic, that why where this incident happened they prefer job  instead of farming and those who not get they choose farming and they need loans after fails to pay loan they choose suicide   I think one of reason  , i don't know it is wrong or correct but : for 100 rs tax paid by Maharashtra only gets 7.7 Rs","44","@ajitpatil6508","true","false","false","false","","false",""
"4 weeks ago","❤😊","5","@Aroob_fatima0","true","false","false","false","","false",""
"4 weeks ago","Big fan 🙏","6","@Uk-girl-aarti-singh","true","false","false","false","","false",""
"4 weeks ago","I mom and dad said if I get 1k sub i will get new pc or laptop to make videos like dhruv sir 😢❤","6","@wonderboy-777","true","false","false","false","","false",""
"4 weeks ago","Bhai cold war per video banao","3","@RealityCheck76657","true","false","false","false","","false",""
"4 weeks ago","Hi","0","@pravinnimbalkar1232","true","false","false","false","","false",""
"4 weeks ago","Hi","1","@pravinnimbalkar1232","true","false","false","false","","false",""
"4 weeks ago","​ @Uk-girl-aarti-singh 😅","2","@KL_BusLover","true","false","false","false","","false",""
"4 weeks ago (edited)","Hi sir                                         Youbest person to gain knowledge 😊☝️","4","@pravinnimbalkar1232","true","false","false","false","","false",""
"4 weeks ago","Apne galti se pin kardiya kisiko","0","@vishnuteja99","true","false","false","false","","false",""
"4 weeks ago","❤❤ bhai jo bhi bolte hai bilkul sahi bolte hai❤","4","@Bardilife","true","false","false","false","","false",""
"4 weeks ago","Bd 🇧🇩","4","@mdsabbirrahman7243","true","false","false","false","","false",""
"4 weeks ago","Waiting new controversy video 😂","3","@Jabin892","true","false","false","false","","false",""
"4 weeks ago","​ mahirajputsearch chinta mat kar bhai ham hai abhi ❤","1","@PhilosophyLover-h1l","true","false","false","false","","false",""
"4 weeks ago","Sir please make video on assam infiltration from Bangladesh","1","@willsflake366","true","false","false","false","","false",""
"4 weeks ago","Dhruv sir uttarkhand mein Tendua ka atank Hai ispe bhi Ek video Bana Dijiye Sir bahut Logo ki Life save Ho jayegi","1","@AmitSingh-zd9qf","true","false","false","false","","false",""
"4 weeks ago","Dhruv bro,  Please make a video about Tipu Sultan and Mysore Kingdom.","6","@mohammedfaisall1651","true","false","false","false","","false",""
"4 weeks ago","😊😅","1","@Exortic_editz","true","false","false","false","","false",""
"4 weeks ago","Physical geography is the branch of natural science","2","@historicalfacts7609","true","false","false","false","","false",""
"4 weeks ago","Love you dhruv sir ❤️❤️❤️❤️❤️❤️❤️❤️❤️","1","@MukeshSingh-ks4lz","true","false","false","false","","false",""
"4 weeks ago","There are many , particularly muslims 😂😂😂","10","@harpreets5710","true","false","false","false","","false",""
"4 weeks ago","No bhai I am not having such friends but their must be some people around us","1","@waligamingzone4678","true","false","false","false","","false",""
"4 weeks ago"," @dhruvrathee  .","0","@U-Zy-AJ","true","false","false","false","","false",""
"4 weeks ago","Meanwhile his fans stating himself above 😂😂😂","1","@Viral-N-Fun","true","false","false","false","","false",""
"4 weeks ago","I love you Bhai ❤❤❤❤❤❤❤❤❤","2","@Trailin.g-official","true","false","false","false","","false",""
"4 weeks ago","Branches of physical geography  Geomorphology  Climatology  Hydrology  Glaciology  Oceanology  Remote sensing and GIS technology  Soil science  Qutanary science  Etc","1","@historicalfacts7609","true","false","false","false","","false",""
"4 weeks ago","Meanwhile his fans stating himself above 😂😂😂","2","@Viral-N-Fun","true","false","false","false","","false",""
"4 weeks ago","Sir mere pas to itana paisa hi nahi hai lekin mujhe padana hai please 😔😔","1","@MrIndianArmypublic","true","false","false","false","","false",""
"4 weeks ago","​@historicalfacts7609 natural science is a method for validating cause and effect relationships in nature. Science is not applied for determining shapes or aspects. You have a category error.","0","@TB-xx8vj","true","false","false","false","","false",""
"4 weeks ago","Earth is hollow pleaseeee make video😭","1","@furykanyster","true","false","false","false","","false",""
"4 weeks ago","Abhi instgram par story dekhi hain full video watch karne ke  liye youtube par Aya hun sir❤","3","@vaibhav_akodiya","true","false","false","false","","false",""
"4 weeks ago","❤","0","@Life_reverie_vlogs","true","false","false","false","","false",""
"4 weeks ago","The reference in the Qur'an that describes the Earth as having a shape similar to an ostrich egg can be found in Surah An-Nazi'at (79:30). The verse is as follows:  *وَالْأَرْضَ بَعْدَ ذَٰلِكَ دَحَاهَا* ""And after that He spread the earth."" (Surah An-Nazi'at 79:30)  The word ""دَحَاهَا"" (dahaha) is often translated as ""spread"" or ""expanded,"" but in classical Arabic, the root word ""dahā"" can also refer to the act of shaping something like an egg. Some interpreters associate this with the Earth's oblate spheroid shape, which is slightly flattened at the poles and bulging at the equator, similar to the shape of an ostrich egg.","9","@thesocialist2964","true","false","false","false","","false",""
"4 weeks ago","Skibidi","0","@Memely_leaf","true","false","false","false","","false",""
"4 weeks ago","Ha earth flat he. Mujhe sach lagta he","0","@ವಿದ್ಯಾರಣ್ಯವಿಜಯ","true","false","false","false","","false",""
"4 weeks ago","This thumbnail is very nice ever❤❤❤","0","@jahilgamer6367","true","false","false","false","","false",""
"4 weeks ago","@dhruvrathee, flat earth measurements are not a belief. Latitude is a flat earth elevation angle measurement of Polaris. How do you measure latitude on the surface of a sphere?","0","@TB-xx8vj","true","false","false","false","","false",""
"4 weeks ago","Sir big fan please one reply 😢😢😢","1","@Learnwithrohit_7","true","false","false","false","","false",""
"4 weeks ago","Yes peaceful community Jo tune btaya hi nhi 🗿","4","@itsdminemchoudhry9495","true","false","false","false","","false",""
"4 weeks ago","Lots of love for you❤","0","@damini9914","true","false","false","false","","false",""
"4 weeks ago","शाबस ध्रुव भाई आपने तो हर क्षेत्र में गांड फाड़ के रख दिया है सभी youtubers कीश😂😂","0","@funnypolitics1848","true","false","false","false","","false",""
"4 weeks ago","चीन के डेवलपमेंट के ऊपर वीडियो बनाओ भाई","0","@funnypolitics1848","true","false","false","false","","false",""
"4 weeks ago","Love u dhruv Bhai ❤❤❤❤❤❤❤❤","0","@NirajKumar-hi6xi","true","false","false","false","","false",""
"4 weeks ago","The Qur'an does not explicitly state that the Earth is flat. Some verses have been interpreted by various scholars in different ways, but they are generally understood within the context of the language and perspective of the time.  For instance, one of the verses often mentioned in this regard is:  - *Surah An-Nazi'at (79:30):* ""And after that, He spread the earth (dahaha).""     The Arabic word dahaha is sometimes translated as ""spread out"" or ""extended,"" and has also been interpreted as ""shaped like an egg"" by some scholars, which aligns more with the concept of the Earth being round.   Many classical scholars understood the Qur'an as describing the Earth in a way that aligns with what was observable to people at the time. Modern scholars often emphasize that the Qur'an is not a scientific textbook but rather a book of guidance, and its descriptions are compatible with the round shape of the Earth.  In summary, while some verses might seem ambiguous, the Qur'an does not explicitly state that the Earth is flat, and many contemporary scholars interpret its descriptions as consistent with a spherical Earth.","6","@awakeningpositivethought304","true","false","false","false","","false",""
"4 weeks ago","Geography and geology is related disciplines","1","@historicalfacts7609","true","false","false","false","","false",""
"4 weeks ago","Gol nhi hai earth","0","@Rahulkipratibha","true","false","false","false","","false",""
"4 weeks ago","Vote for illumaneti video ❤","1","@karanffnoobyt8105","true","false","false","false","","false",""
"4 weeks ago","Allah Quran mai kehta hai Humne Zameen rehne ki Qabil bana di hai insano ke liye iska matlab ye nahi ki wo flat hai or jo log flat mante hai wo bewakuf hai galat interpetesion karte hai Quran ki unhone galat samjha Sabhi soler system including Earth 🌎 goal hi hai flat nahi hai","2","@i_am_muslim_s","true","false","false","false","","false",""
"4 weeks ago","hello sir","0","@dr.ashokvaghela","true","false","false","false","","false",""
