"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"4 years ago (edited)","""Immerse yourself in 7clouds Music Mix's transformative audio journeys, with a fresh 1-hour music mix every day - subscribe now to uplift your sonic experience!"" 🎵🎧 https://www.youtube.com/@7cloudsMusicMix","48040","@7clouds","false","false","true","false","","false",""
"4 years ago","More imagine dragons","945","@Derpyassdude","true","false","false","false","","false",""
"4 years ago","ok thx for telling us!","611","@Idkokyeah","true","false","false","false","","false",""
"4 years ago","What's your favorite imagine dragons song","489","@Derpyassdude","true","false","false","false","","false",""
"4 years ago"," Gordon Weston  what one is your favorite","347","@Derpyassdude","true","false","false","false","","false",""
"4 years ago","Ello","262","@wiktoriagawel1656","true","false","false","false","","false",""
"4 years ago","nice song","270","@antoninocuaresma9203","true","false","false","false","","false",""
"4 years ago"," @louginyusuf6017  love u","189","@anikschannel7468","true","false","false","false","","false",""
"4 years ago","Nice  song","219","@Malathidevi157","true","false","false","false","","false",""
"4 years ago","Nice  song","196","@Malathidevi157","true","false","false","false","","false",""
"4 years ago","thanks","156","@louginyusuf6017","true","false","false","false","","false",""
"4 years ago","Great song love this songand 7 clouds too💙💚💛🧡💜🖤","156","@anikschannel7468","true","false","false","false","","false",""
"4 years ago","ME","120","@louginyusuf6017","true","false","false","false","","false",""
"4 years ago","YES I'M LOUGIN NO PROBLEM IN HERE","109","@louginyusuf6017","true","false","false","false","","false",""
"4 years ago (edited)","@Karla Felix a","73","@ianleonidasbravofrontera9940","true","false","false","false","","false",""
"4 years ago","Oooo okay!","76","@St4rr1x","true","false","false","false","","false",""
"4 years ago (edited)","@Karla Felix hhjdjkdjd","63","@ashrafmohamedmansy2990","true","false","false","false","","false",""
"4 years ago","Best","76","@thaqifgamesport9909","true","false","false","false","","false",""
"4 years ago (edited)","Ooooooo","56","@سهامامزينب","true","false","false","false","","false",""
"4 years ago","Mashaallla","56","@akshtrabansal401","true","false","false","false","","false",""
"4 years ago","This is amazing","62","@olivaava1421","true","false","false","false","","false",""
"4 years ago","I love you","61","@olivaava1421","true","false","false","false","","false",""
"4 years ago","Love you","54","@olivaava1421","true","false","false","false","","false",""
"4 years ago","I LOVE YOU BELİEVER ❤","76","@steveuwueskibirstevesavera8230","true","false","false","false","","false",""
"4 years ago",":)","41","@electroAvatar","true","false","false","false","","false",""
"4 years ago","Me gusta believer","37","@felicialuisadiazdutescu.4848","true","false","false","false","","false",""
"4 years ago (edited)","@Karla Felix aaàaàaàaàqaQqaÀÀAAQqqaaaq","20","@shineepurev1145","true","false","false","false","","false",""
"4 years ago",">p~fyuu8q733ue2773pqp0CT o","17","@greyatlantis","true","false","false","false","","false",""
"4 years ago","Toroepepyctfhdgjtıtutuy","17","@gulsenpatlar7863","true","false","false","false","","false",""
"4 years ago"," @gachagals2091  8y7566u66775ııu","18","@gulsenpatlar7863","true","false","false","false","","false",""
"4 years ago (edited)","@Drisana Subedi r7ıu","32","@gulsenpatlar7863","true","false","false","false","","false",""
"4 years ago"," @antoninocuaresma9203  eksls","25","@gulsenpatlar7863","true","false","false","false","","false",""
"4 years ago (edited)","@Sophie Williams tog","29","@gulsenpatlar7863","true","false","false","false","","false",""
"4 years ago","WAIT REALLY ?!?!?!?!","27","@lailamaliki4289","true","false","false","false","","false",""
