"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 month ago","Dedicate 3-5 hours a day for the next 8-16 months 😂😂😂","63","@onlineentrepreneur8530","false","false","false","false","","false",""
"1 month ago","Exactly what I was thinking. Maybe take a bootcamp course? with your country’s government schemes maybe you could get it for free?","5","@ilja9230","true","false","false","false","","false",""
"1 month ago","​ @ilja9230  checkout freecodecamp Data Analyst BootCamp course.","0","@reon_fernandes","true","false","false","false","","false",""
"1 month ago","Well with my time availability I'll be a data analyst in no time....I mean 2030 isn't that far away right....right..? 😭","14","@V1N_574","true","false","false","false","","false",""
"1 month ago","yeah, sounds more like data science but every country's different","1","@BraveDave50","true","false","false","false","","false",""
"3 weeks ago","A lot of job descriptions aren’t asking for every single thing listed in the video.","1","@papercliprain3222","true","false","false","false","","false",""
"13 days ago","Which of these would they be asking for?  ​ @papercliprain3222 ","0","@luciferhasfallen3381","true","false","false","false","","false",""
"2 months ago","Love that there was no unnecessary intro ❤ You jumped straight to the point. Much needed relief in these times of clickbaits and irrelevant speeches at the beginning 😅","59","@shagunfood","false","true","false","false","","false",""
"2 months ago","Hi Mosh, can you please create a roadmap for Data Engineering.","48","@MDHOSSAIN-gj5ve","false","false","false","false","","false",""
"1 month ago","Please sir! 😌 😌","0","@Vincent45678","true","false","false","false","","false",""
"2 months ago","Next Cyber Security plz","23","@raeesahmed7283","false","false","false","false","","false",""
"2 months ago (edited)","Please mobile app development kotlin, swift or flutter 😍 except react native 🧸🧸","9","@jeeva3984","false","false","false","false","","false",""
"2 months ago","+1","0","@haophong2452","true","false","false","false","","false",""
"2 months ago","He has a video on it already","0","@solomonmonday2942","true","false","false","false","","false",""
"2 months ago","WE WANT COURSE ON MOBILE APP DEVELOPMENT","0","@Bug-Slayer-404","true","false","false","false","","false",""
"2 months ago","Thanks man, i appreciate your efforts ,in last video i asked you to prepare a data analyst roadmap and here you are with it","9","@samarthvanpariya2997","false","false","false","false","","false",""
"2 months ago","Concise and lovable! ❤","7","@gbTechieNinja","false","true","false","false","","false",""
"1 month ago","Thank you for everything, Waiting for cyber security roadmap 🔥🔥","7","@reemsaad8000","false","false","false","false","","false",""
"1 month ago","This roadmap is amazing nosh, I’m account and I wanna be a data analyst for to grow on my profesional degreee as an accountant. I’ve finished your python course for beginners. Now you’re the best YouTuber that I ever watched.","5","@luckkerr","false","true","false","false","","false",""
"2 months ago","I went through the PDF you mentioned. Very well done. Thank you. You have become a brand that I trust. Keep it up! 💪","3","@SolutionBuffet","false","true","false","false","","false",""
"1 month ago","hey man i am not getting the pdf can you send it to me","0","@popanimecorn5105","true","false","false","false","","false",""
"10 days ago"," @popanimecorn5105  yh same here. i want the pdf","0","@nhiidhavids3751","true","false","false","false","","false",""
"2 months ago","Thanks Man , For that","2","@TelangPatil","false","false","false","false","","false",""
"2 months ago","Thank you for your hardwork Mosh ❤ Can you make a video on cybersecurity road map","2","@yogij17","false","true","false","false","","false",""
"2 months ago","Hi mosh! thank you for releasing useful contents. Can you please make one roadmap for blockchain software development?","2","@JamalGhazniwal-xr4wc","false","false","false","false","","false",""
"1 month ago","I saw your video related to DATA ANALYST but my concern is which is the best place to learn all those which you have suggested for DATA ANALYST. if you could guide us to that as well then it will great help to follow","2","@ujjwalranaa","false","false","false","false","","false",""
"2 months ago","mobile app development kotlin, swift or flutter except react native please","1","@haophong2452","false","false","false","false","","false",""
"2 months ago","I'm waiting for machine learning ❤","1","@mubarakmustapha1144","false","false","false","false","","false",""
"2 months ago","Me too…. AI and ML","0","@obedaguocha4518","true","false","false","false","","false",""
"2 months ago","Thnku sir","1","@Daily_shorts888","false","false","false","false","","false",""
"2 months ago","That was G R E A T ! thanks👍👏","1","@Hawkeye868","false","true","false","false","","false",""
"2 months ago","Spring boot course would be cool","1","@RandyAinsworth-tx6vn","false","false","false","false","","false",""
"1 month ago","please make a complete roadmap on how to become a Cyber Security engineer!","1","@arijeetchakraborty7069","false","false","false","false","","false",""
"1 month ago","Beautiful! Thanks ❤for sharing","1","@MsAngelaNS","false","true","false","false","","false",""
"1 month ago","Hello Mr.Mosh Are you from (Kurdistan)? Because (Hamadan) is in the (EAST of Kurdistan)","1","@asomohammad5757","false","false","false","false","","false",""
"1 month ago","I went to leaning path in your website but you dont have one for data engineering.","1","@AnoopKumar-ve7bf","false","false","false","false","","false",""
"1 month ago","Thank you for great videos on roadmap can we get a roadmap on Internet of Things(IoT)❤","1","@pHaNtoM19990","false","false","false","false","","false",""
"1 month ago","www.youtube.com/@Tsp_Academic","1","@Tsp_Academic","false","false","false","false","","false",""
"1 month ago","Hi mosh your videos help many understand basic concepts on understanding how technology works I think for your next video a cloud development road map would be beneficial.","1","@ogonamokgalagadi9556","false","false","false","false","","false",""
"1 month ago","i dont received the roadmap sir...how to get it ???","1","@MadhanShyam","false","false","false","false","","false",""
"1 month ago","Next data engineer and business intelligence","1","@yunoussisan","false","false","false","false","","false",""
"1 month ago","Pls make roadmap on cybersecurity like  ethical hacking, cybersecurity engineer, pentester, cybersecurity analyst ,etc. I m waiting...","1","@kishan4278","false","false","false","false","","false",""
"6 days ago","I think your timeline is just too long, i would encourage 2 weeks on excel, 2 weeks sql, 1-2 months on Tableau, 3-months for python","1","@BMM-op4ou","false","false","false","false","","false",""
"2 months ago","Does this roadmap build upon the previously learned skills or is there room for concurrent learning?","0","@coryjustinbaker1194","false","false","false","false","","false",""
"2 months ago","Devops  roadmap please","0","@amirtorghon2464","false","false","false","false","","false",""
"2 months ago","Web 3 Road map please","0","@AHMEDYASSER-up6yx","false","false","false","false","","false",""
"2 months ago","Web 3 Road map please","0","@AHMEDYASSER-up6yx","false","false","false","false","","false",""
"2 months ago","Please do robotics software engineer","0","@AarnyaJain1234","false","false","false","false","","false",""
"2 months ago","Mosh, please help me clarify this in mind. Is Database Administrator now a Data Analyst?","0","@martindzeble","false","false","false","false","","false",""
"2 months ago","The link please","0","@boladeoshodi-fu1yj","false","false","false","false","","false",""
"2 months ago","hy mosh! I'am from Pakistan. would you like to make a course on nestjs","0","@MuzammalHussain-l7x","false","false","false","false","","false",""
"2 months ago","your courses are outdated why?","0","@amankumbhalwar","false","false","false","false","","false",""
"2 months ago","Are python and excel still enough?","0","@info-cv8tg","false","false","false","false","","false",""
"2 months ago","Hey Mosh! kindly do make a Cybersecurity  Roadmap as well.","0","@AsimAzhar-y2r","false","false","false","false","","false",""
"2 months ago","Thank you","0","@radouane5376","false","false","false","false","","false",""
"2 months ago","DATA SCIENCE + SOFTWARE ENGINEERING = AI/ML ENGINEER Vote for AI/ML engineer roadmap ☑","0","@Prathammishra-rd6vu","false","false","false","false","","false",""
"2 months ago (edited)","Only two monthes to get familiar with Math ! Are you crazy mosh ? people like you are eventually destroying the professional market . you shouldn't underrate these professions just soo much like this man . took a lifetime for me just to become a professional programmer . ( needing many fields and already laying the ground for just too many years of my life time ). You Are Wrong Man !","0","@arash_samandar","false","false","false","false","","false",""
"2 months ago","If you have a strong background in math, programming and a good amount of domain knowledge, then you shouldn't worry too much about others getting into this field. I went through the PDF that he mentioned and find it a really good reference list for me who is already quite experienced. But I doubt if just about anyone who's merely interested in the subject can pull it off. Having supervised several projects myself, I think experience and domain knowledge is key to actually solve business problems in a good way. Just learning the stuff in that list wouldn't cut it. But if someone is willing to burn the midnight oil and really learn the stuff then they deserve the success. That's my opinion at least.","1","@SolutionBuffet","true","false","false","false","","false",""
"1 month ago"," @SolutionBuffet  no my point actually is, that after soo many years i am ( myself ) still not good enough ( in Math specially ) and i have diploma in math and bachelor in software engineering.","0","@arash_samandar","true","false","false","false","","false",""
"1 month ago"," @arash_samandar  Sorry, I misunderstood!","0","@SolutionBuffet","true","false","false","false","","false",""
"2 months ago","Make a video data engineer roadmap","0","@juhibiswas3455","false","false","false","false","","false",""
"2 months ago","This is for data science.","0","@razee7869","false","false","false","false","","false",""
"2 months ago","Nope . It’s for analysis .","0","@sarrieeldin","true","false","false","false","","false",""
"2 months ago"," @sarrieeldin  machine learning and big data also necessary?🥲","0","@razee7869","true","false","false","false","","false",""
"2 months ago","Flutter road map for beginners and mediator","0","@nivithann1732","false","false","false","false","","false",""
